rule,title,display,id,matchstring
Intersection,SVG-Translate-Tool,show,3542 1274,
Intersection,Event-Metrics,show,3543 1274,
Intersection,Data-Portability,show,3730 1274,
Intersection,English-Wikipedia-New-Pages-Patrol,show,2604 1274,
Intersection,MediaWiki-extensions-GlobalPreferences,show,763 1274,
Intersection,MediaWiki-extensions-TemplateWizard,show,3284 1274,
Intersection,MediaWiki-extensions-RelatedSites,show,595 1274,
Intersection,MediaWiki-extensions-TranslateSvg,show,1272 1274,
Intersection,MediaWiki-extensions-CodeMirror,show,1162 1274,
Intersection,MediaWiki-extensions-LoginNotify,show,2419 1274,
Intersection,MediaWiki-extensions-PageAssessments,show,1936 1274,
Intersection,CopyPatrol,show,1638 1274,
Intersection,IA Upload,show,2793 1274,
ProjectByID,SVG-Translate-Tool-not-in-CT-Backlog,hide,3542,
ProjectByID,Event-Metrics-Not-in-CT-Backlog,hide,3543,
ProjectByID,Data-Portability-Not-in-CT-Backlog,hide,3730,
ProjectByID,English-Wikipedia-New-Pages-Patrol-Not-in-CT-Backlog,hide,2604,
ProjectByID,MediaWiki-extensions-GlobalPreferences-Not-in-CT-Backlog,hide,763,
ProjectByID,MediaWiki-extensions-TemplateWizard-Not-in-CT-Backlog,hide,3284,
ProjectByID,MediaWiki-extensions-RelatedSites-Not-in-CT-Backlog,hide,595,
ProjectByID,MediaWiki-extensions-TranslateSvg-Not-in-CT-Backlog,hide,1272,
ProjectByID,MediaWiki-extensions-CodeMirror-Not-in-CT-Backlog,hide,1162,
ProjectByID,MediaWiki-extensions-LoginNotify-Not-in-CT-Backlog,hide,2419,
ProjectByID,MediaWiki-extensions-PageAssessments-Not-in-CT-Backlog,hide,1936,
ProjectByID,CopyPatrol-Not-in-CT-Backlog,hide,1638,
ProjectByID,IA Upload-Not-in-CT-Backlog,hide,2793,
ProjectByID,Backlog-Other,show,1274,
