rule,title,display,id,matchstring
ProjectColumn,Prepare Sep 2017 Board Presentation on Tech,show,2987,Prepare Sep 2017 Board Presentation on Tech
ProjectColumn,Manage Montréal 2017 Offsite,show,2987,Manage Montréal 2017 Offsite
ProjectColumn,Manage Q2 Quarterly Review,show,2987,"Manage ""Q2"" Quarterly Review (FY2017–18 Q2"
ProjectColumn,Clarify partnership planning,show,2987,Clarify partnership planning
ProjectColumn,Answer questions about legal steps in hiring,show,2987,Answer questions about legal steps in hiring
ProjectColumn,Plan Oct 2018 F2F Meeting,show,2987,Plan Oct 2018 F2F Meeting
ProjectColumn,Improve Engagement,show,2987,Improve Engagement
ProjectColumn,Sunsetting Products,show,2987,Sunsetting Products
ProjectColumn,Movement Strategy,show,2987,Movement Strategy
ProjectColumn,Annual Planning process improvement,show,2987,Annual Planning process improvement
ProjectColumn,Quantitative reporting,show,2987,Quantitative reporting
ProjectColumn,Create Tech Onboarding process,show,2987,Create Tech Onboarding process
ProjectColumn,Propose Personal Development process,show,2987,Propose Personal Development process
ProjectColumn,Department reality checks,show,2987,Department reality checks
ProjectColumn,Uncategorized,show,2987,Uncategorized
ProjectByID,Other CTO Backlog,show,2987,
